shuttle_location,shuttle_type,engine_type,engine_vendor,engines,passenger_capacity,cancellation_policy,crew,d_check_complete,moon_clearance_complete,price,company_id,shuttle_id,review_scores_rating,review_scores_comfort,review_scores_amenities,review_scores_trip,review_scores_crew,review_scores_location,review_scores_price,number_of_reviews,reviews_per_month,id,company_rating,company_location,total_fleet_count,iata_approved
Micronesia,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,True,False,3757.751436559978,19958,37162,60.0,6.0,10.0,10.0,10.0,10.0,8.0,1,1.0,19958,1.0,Congo,40.0,True
Bouvet Island (Bouvetoya),Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,True,False,1333.1661617991417,35123,41561,100.0,10.0,10.0,10.0,10.0,10.0,10.0,7,1.51,35123,0.9910962294173993,Chile,1.0,False
United Kingdom,Type V5,Plasma,ThetaBase Services,0.0,2,flexible,1.0,True,False,2414.263048139582,6225,69606,100.0,10.0,10.0,9.0,10.0,10.0,9.0,3,1.0,6225,0.9062761121259245,Barbados,7.0,False
Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,2.0,4,moderate,2.0,False,False,3216.8191084305736,18077,42633,95.0,10.0,10.0,10.0,10.0,10.0,9.0,27,0.64,18077,0.9909319227397314,Sao Tome and Principe,139.0,False
Uzbekistan,Type V2,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1644.6184231315326,26406,70010,100.0,10.0,10.0,10.0,10.0,10.0,10.0,4,0.99,26406,1.0,Kiribati,2.0,False
Rwanda,Type V5,Plasma,ThetaBase Services,0.0,2,strict,1.0,False,False,1939.310015531558,6894,26927,80.0,6.0,6.0,10.0,10.0,8.0,8.0,1,0.13,6894,0.7909902998157375,Estonia,47.0,True
Russian Federation,Type V5,Plasma,ThetaBase Services,1.0,6,strict,3.0,False,False,2071.3348778099253,4446,66513,93.0,10.0,9.0,10.0,10.0,10.0,9.0,31,2.06,4446,0.9753802029411008,Uganda,58.0,False
Micronesia,Type V5,Plasma,ThetaBase Services,3.0,7,strict,4.0,True,False,8276.060212679538,19958,72290,95.0,9.0,9.0,10.0,10.0,10.0,9.0,11,0.52,19958,0.992111507502587,Congo,40.0,True
United Kingdom,Type F5,Plasma,ThetaBase Services,1.0,4,moderate,1.0,False,False,1886.4887233246811,38767,10815,89.0,9.0,9.0,8.0,9.0,9.0,9.0,9,0.92,38767,0.6673869988943111,Holy See (Vatican City State),1.0,False
Russian Federation,Type V5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,False,False,3189.9733599679566,6145,75466,98.0,10.0,10.0,10.0,10.0,10.0,10.0,12,0.64,6145,1.0,Russian Federation,2.0,True
Niue,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1258.186087681479,3927,20790,95.0,10.0,10.0,10.0,10.0,9.0,10.0,85,2.18,3927,0.9874158516943508,Niue,1.0,True
United Kingdom,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1524.8118270161553,22513,17062,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.05,22513,0.8876135387288593,Jersey,4.0,True
Rwanda,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,0.0,False,False,1422.2495776219669,49035,69834,100.0,10.0,10.0,10.0,10.0,8.0,10.0,1,1.0,49035,0.9896057790370898,Maldives,6.0,False
Micronesia,Type V5,Plasma,ThetaBase Services,1.0,4,flexible,2.0,True,False,3371.771962593972,6711,45936,97.0,10.0,10.0,9.0,10.0,10.0,10.0,6,4.5,6711,0.9862477488203779,Spain,3.0,False
Nicaragua,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,True,False,2027.7677207472934,10865,30759,88.0,9.0,8.0,10.0,10.0,9.0,9.0,52,0.65,10865,0.8782101655860831,Isle of Man,2.0,True
Estonia,Type V2,Quantum,ThetaBase Services,1.0,3,strict,2.0,True,False,1197.5276517956793,27186,45437,91.0,10.0,10.0,10.0,10.0,9.0,9.0,140,3.84,27186,0.9984134881653098,Zimbabwe,7.0,True
Micronesia,Type V5,Plasma,ThetaBase Services,4.0,9,strict,4.0,False,False,4814.157845127773,28828,65623,92.0,10.0,8.0,9.0,9.0,10.0,9.0,7,0.4,28828,1.0,Isle of Man,198.0,True
United Kingdom,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,False,False,2421.3250186215278,39467,10451,98.0,10.0,10.0,10.0,10.0,10.0,10.0,208,2.77,39467,0.992501517896174,Nicaragua,4.0,True
Barbados,Type V5,Plasma,ThetaBase Services,3.0,5,strict,3.0,True,False,3455.0068707554046,10364,61554,100.0,10.0,10.0,10.0,10.0,10.0,9.0,3,0.34,10364,0.9907300561332544,Slovakia (Slovak Republic),14.0,False
Anguilla,Type F5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,False,False,1183.735214436222,44441,43844,100.0,10.0,10.0,10.0,10.0,8.0,10.0,2,0.61,44441,1.0,United Kingdom,1.0,True
Barbados,Type V5,Plasma,ThetaBase Services,2.0,4,flexible,2.0,False,False,2581.908512248936,39109,75862,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.05,39109,0.7610400414683022,Ukraine,24.0,True
Malta,Type V5,Plasma,ThetaBase Services,0.0,2,flexible,1.0,True,False,1529.98269562629,41741,30372,89.0,9.0,9.0,10.0,10.0,9.0,9.0,31,1.77,41741,0.9864003080988083,Brazil,9.0,True
Micronesia,Type E3,Plasma,ThetaBase Services,0.0,2,strict,1.0,False,False,1773.6980429077516,9791,24096,84.0,8.0,8.0,8.0,8.0,10.0,8.0,6,0.69,9791,0.8122779998785169,Rwanda,2.0,True
Micronesia,Type G0,Plasma,ThetaBase Services,1.0,2,strict,1.0,True,False,2999.156438128525,11567,45789,84.0,8.0,9.0,9.0,9.0,10.0,8.0,11,0.3,11567,1.0,Niger,31.0,True
Barbados,Type V5,Quantum,ThetaBase Services,1.0,2,strict,2.0,False,False,1887.994319253169,24118,76113,91.0,9.0,9.0,10.0,9.0,10.0,9.0,20,1.42,24118,0.9976750239576534,Ghana,21.0,True
United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,True,False,1390.1229049040828,49496,15172,100.0,10.0,10.0,10.0,10.0,10.0,10.0,3,3.0,49496,1.0,Gibraltar,1.0,False
Niue,Type F5,Quantum,ThetaBase Services,1.0,4,strict,3.0,True,False,1396.7845747441545,26780,28026,84.0,9.0,8.0,10.0,10.0,9.0,9.0,5,0.34,26780,0.987318563483685,Guinea,7.0,False
Wallis and Futuna,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,False,False,1845.1187887450512,11076,16527,93.0,10.0,9.0,10.0,10.0,10.0,9.0,45,0.69,11076,1.0,Malta,1.0,True
Niue,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,2.0,True,False,1442.422875118598,11789,14096,100.0,10.0,10.0,10.0,10.0,10.0,10.0,8,5.85,11789,0.9898437174528175,Niue,1.0,False
Niue,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1461.5061983828036,43176,49304,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.07,43176,0.8434839040328171,Guinea,3.0,False
Barbados,Type O3,Quantum,ThetaBase Services,1.0,3,strict,2.0,True,False,1921.6880589152304,27289,10676,86.0,9.0,9.0,9.0,9.0,9.0,9.0,18,2.51,27289,0.9855280060693001,Reunion,12.0,True
Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,2.0,5,strict,2.0,False,False,3067.0330684913747,33619,56462,85.0,8.0,8.0,8.0,9.0,10.0,8.0,4,1.35,33619,1.0,Sao Tome and Principe,1.0,False
Brazil,Type W5,Quantum,ThetaBase Services,1.0,3,strict,2.0,True,False,1446.733386320932,42915,75105,89.0,9.0,9.0,10.0,10.0,9.0,9.0,74,3.87,42915,1.0,Vanuatu,1.0,False
Bosnia and Herzegovina,Type F5,Quantum,ThetaBase Services,1.0,2,strict,2.0,False,False,1258.1501159065708,27316,63296,80.0,10.0,9.0,9.0,10.0,9.0,9.0,6,0.08,27316,0.9860910586874123,Puerto Rico,5.0,False
Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1.0,4,moderate,1.0,False,False,2186.887780038571,24198,9766,40.0,8.0,8.0,10.0,10.0,10.0,4.0,2,0.36,24198,0.24517658424787264,French Guiana,4.0,False
Nicaragua,Type V5,Plasma,ThetaBase Services,3.0,8,strict,3.0,False,False,4082.9977927668365,6011,46594,91.0,9.0,9.0,9.0,10.0,10.0,9.0,28,2.09,6011,0.9985713341465802,Cuba,1.0,False
Costa Rica,Type V5,Plasma,ThetaBase Services,1.0,1,strict,1.0,False,False,1845.9384407376258,12980,64000,95.0,9.0,10.0,10.0,10.0,8.0,9.0,4,0.14,12980,0.9831088754602916,Uzbekistan,3.0,True
Uzbekistan,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1186.5271911030334,47181,30021,89.0,9.0,10.0,9.0,10.0,8.0,9.0,9,0.27,47181,0.9371317236524862,Kiribati,5.0,True
Barbados,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,2042.5409968794363,17818,22000,97.0,10.0,10.0,10.0,10.0,10.0,9.0,78,1.8,17818,0.9977126497374125,Montserrat,2.0,True
United Kingdom,Type V5,Plasma,ThetaBase Services,0.0,3,moderate,2.0,False,False,1779.8475255587866,8985,26744,98.0,10.0,9.0,10.0,10.0,9.0,10.0,17,0.75,8985,0.9860940513906794,Gibraltar,1.0,True
Barbados,Type V5,Plasma,ThetaBase Services,2.0,5,strict,0.0,False,False,3198.0106975393824,33823,3843,93.0,10.0,10.0,9.0,9.0,10.0,10.0,6,0.3,33823,0.7655282640625893,France,17.0,True
Barbados,Type V5,Plasma,ThetaBase Services,2.0,5,moderate,2.0,True,False,2507.6579402816883,10809,17206,96.0,10.0,10.0,10.0,10.0,10.0,9.0,11,2.58,10809,1.0,Bosnia and Herzegovina,4.0,False
Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,True,False,2157.8508754576555,35796,37007,80.0,10.0,8.0,9.0,9.0,9.0,9.0,20,1.49,35796,0.9961918696785428,Uzbekistan,1.0,False
Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1257.1909849297524,8189,63831,93.0,10.0,10.0,10.0,9.0,7.0,9.0,3,0.08,8189,1.0,Chile,2.0,True
United Kingdom,Type V5,Plasma,ThetaBase Services,2.0,3,strict,2.0,False,False,2644.200679948107,10479,33739,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.06,10479,1.0,Palestinian Territory,3.0,True
Nicaragua,Type V5,Plasma,ThetaBase Services,3.0,6,strict,3.0,False,False,5052.576887431093,12424,22815,96.0,10.0,9.0,10.0,10.0,10.0,9.0,34,2.12,12424,1.0,Pakistan,2.0,True
Malta,Type V5,Plasma,ThetaBase Services,0.0,2,flexible,1.0,True,False,1711.7007174799892,41741,1109,92.0,9.0,9.0,10.0,10.0,9.0,9.0,31,2.05,41741,0.9946656825338251,Brazil,9.0,True
Rwanda,Type V5,Plasma,ThetaBase Services,1.0,4,strict,2.0,False,False,2157.6199114045226,31117,32402,99.0,10.0,10.0,10.0,10.0,10.0,10.0,28,1.67,31117,0.7750215288043273,Croatia,3.0,True
Kiribati,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,True,False,2163.749028162119,28828,45907,94.0,10.0,9.0,9.0,10.0,9.0,9.0,29,0.97,28828,1.0,Isle of Man,198.0,True
Rwanda,Type V5,Plasma,ThetaBase Services,0.0,2,strict,1.0,True,False,2031.1914492884791,4920,25320,92.0,10.0,10.0,10.0,10.0,9.0,9.0,31,2.08,4920,1.0,Estonia,8.0,False
Barbados,Type G0,Plasma,ThetaBase Services,0.0,3,strict,2.0,False,False,1923.458177229186,47361,61502,94.0,9.0,10.0,10.0,10.0,9.0,10.0,13,0.86,47361,0.9996460992182618,Barbados,10.0,False
Russian Federation,Type V5,Plasma,ThetaBase Services,2.0,4,flexible,3.0,False,False,1788.6626517229372,2232,9820,96.0,10.0,8.0,9.0,9.0,10.0,10.0,5,1.67,2232,0.9801018448120086,Russian Federation,1.0,False
Russian Federation,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,True,False,2223.9175239422025,6967,12810,100.0,10.0,10.0,9.0,10.0,10.0,10.0,12,1.59,6967,0.9932512150356988,Russian Federation,1.0,False
Nicaragua,Type V5,Plasma,ThetaBase Services,0.0,3,strict,2.0,False,False,2492.7129567613715,45546,64923,97.0,10.0,10.0,10.0,10.0,10.0,10.0,35,0.94,45546,0.9981626672523319,Cape Verde,19.0,True
Niue,Type F5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,True,False,1451.678509902931,9689,15714,98.0,10.0,10.0,10.0,10.0,9.0,10.0,74,1.02,9689,0.9890201143258021,Guinea,2.0,False
Niue,Type F5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,False,False,1180.270969112501,12262,38664,100.0,10.0,9.0,10.0,10.0,9.0,9.0,2,0.1,12262,0.9743604603202011,Niue,2.0,False
Uzbekistan,Type V5,Plasma,ThetaBase Services,2.0,5,strict,2.0,False,False,2554.423922900389,13212,63477,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2,1.25,13212,0.9990214922978488,Zimbabwe,12.0,True
Bouvet Island (Bouvetoya),Type F5,Plasma,ThetaBase Services,3.0,6,strict,3.0,False,False,4085.3905565824525,28828,60950,98.0,10.0,10.0,10.0,10.0,10.0,10.0,9,0.3,28828,0.9921512375364238,Isle of Man,198.0,True
Malta,Type V5,Plasma,ThetaBase Services,1.0,4,moderate,1.0,False,False,2023.2648907049409,37215,39917,82.0,8.0,8.0,9.0,10.0,9.0,8.0,22,0.39,37215,1.0,Indonesia,4.0,True
Nicaragua,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,True,False,1522.7589131291331,17427,12137,92.0,10.0,9.0,10.0,10.0,10.0,9.0,45,2.35,17427,1.0,Mexico,2.0,False
United Kingdom,Type F5,Plasma,ThetaBase Services,2.0,3,strict,2.0,False,False,2369.6998959972198,38972,51132,90.0,10.0,10.0,10.0,9.0,10.0,9.0,4,1.35,38972,0.784695788968984,Tunisia,1.0,False
Isle of Man,Type O3,Quantum,ThetaBase Services,3.0,4,flexible,3.0,False,False,1517.5302733106726,20518,63265,98.0,10.0,10.0,10.0,10.0,10.0,10.0,33,1.31,20518,0.9988091385650394,Togo,4.0,True
Micronesia,Type V5,Plasma,ThetaBase Services,1.0,2,moderate,1.0,False,False,2556.510397046376,18077,21974,97.0,10.0,9.0,10.0,10.0,10.0,10.0,20,0.85,18077,1.0,Sao Tome and Principe,139.0,False
Malta,Type V5,Plasma,ThetaBase Services,1.0,2,moderate,1.0,False,False,2408.3211235260665,18077,34429,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.04,18077,0.9834770071163785,Sao Tome and Principe,139.0,False
Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,2.0,7,strict,3.0,False,False,3458.1440257283134,24026,15552,92.0,9.0,8.0,7.0,9.0,10.0,8.0,5,0.64,24026,0.9695983369477871,Cape Verde,69.0,True
Barbados,Type V5,Plasma,ThetaBase Services,2.0,6,flexible,2.0,True,False,4315.409016725324,3524,59537,93.0,10.0,9.0,10.0,10.0,10.0,9.0,8,2.42,3524,1.0,Ghana,5.0,False
Nicaragua,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,False,False,2929.32340979486,27972,45359,90.0,9.0,10.0,9.0,9.0,9.0,9.0,14,0.58,27972,0.9420946196973019,Brazil,27.0,False
Nicaragua,Type V5,Plasma,ThetaBase Services,2.0,5,strict,4.0,False,False,3958.386383011652,37665,32341,98.0,10.0,10.0,10.0,10.0,10.0,9.0,18,0.64,37665,0.9960149308211749,Wallis and Futuna,4.0,True
Malta,Type V5,Plasma,ThetaBase Services,1.0,4,strict,2.0,False,False,2024.641757616459,19842,29816,82.0,8.0,9.0,9.0,9.0,9.0,9.0,32,1.04,19842,0.8548617124146587,Turkmenistan,53.0,False
United Kingdom,Type V5,Plasma,ThetaBase Services,0.0,2,flexible,0.0,False,False,1701.3152688546502,7696,36158,80.0,8.0,9.0,9.0,9.0,8.0,9.0,3,0.97,7696,0.9750586190984059,Russian Federation,7.0,True
Nicaragua,Type F5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,False,False,2305.046576994691,43294,16698,99.0,10.0,10.0,10.0,10.0,10.0,10.0,35,0.79,43294,1.0,Isle of Man,1.0,False
Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,0.0,4,strict,2.0,True,False,1833.8002098736677,14043,690,94.0,10.0,8.0,9.0,9.0,10.0,10.0,11,0.54,14043,1.0,Chad,1.0,False
United Kingdom,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,True,False,1318.4128990329677,46049,64848,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2,2.0,46049,0.989374924244897,El Salvador,2.0,False
United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,3,strict,1.0,True,False,1561.7371082121213,48334,58574,79.0,9.0,8.0,9.0,9.0,9.0,8.0,106,3.81,48334,0.9988430351708433,Guinea,12.0,False
Russian Federation,Type V5,Plasma,ThetaBase Services,1.0,6,moderate,3.0,False,False,2845.821911170896,23465,22020,100.0,10.0,10.0,9.0,10.0,10.0,10.0,9,5.87,23465,1.0,Tonga,1.0,False
Malta,Type V5,Nuclear,ThetaBase Services,1.0,2,flexible,1.0,False,False,1661.7023762840108,8707,19275,93.0,9.0,9.0,9.0,9.0,9.0,9.0,4,0.17,8707,0.739956590114287,Rwanda,21.0,True
Malta,Type V5,Quantum,ThetaBase Services,1.0,6,flexible,6.0,False,False,2416.902049095284,31805,20871,85.0,8.0,8.0,9.0,9.0,8.0,8.0,47,1.68,31805,0.9738496812787212,Mauritania,20.0,False
Barbados,Type V5,Plasma,ThetaBase Services,0.0,3,flexible,2.0,True,False,1903.4130324278253,31749,3822,76.0,8.0,8.0,9.0,9.0,10.0,8.0,207,6.21,31749,1.0,Uganda,9.0,True
United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,False,False,1498.2561702670725,7493,27995,94.0,10.0,9.0,10.0,10.0,9.0,10.0,295,5.47,7493,0.9910274507250189,Monaco,1.0,True
Russian Federation,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,True,False,1272.7931619278727,48897,41495,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0.24,48897,0.9943336807538056,Russian Federation,1.0,True
Guinea,Type F5,Plasma,ThetaBase Services,5.0,10,strict,5.0,False,False,10517.965277097532,43798,69074,100.0,10.0,10.0,10.0,10.0,9.0,10.0,5,0.8,43798,1.0,El Salvador,4.0,True
United Kingdom,Type G0,Plasma,ThetaBase Services,1.0,3,strict,1.0,True,False,2881.8433784310323,37646,22234,73.0,7.0,9.0,9.0,9.0,9.0,8.0,7,0.1,37646,1.0,Estonia,60.0,False
Sao Tome and Principe,Type G0,Quantum,ThetaBase Services,1.0,2,strict,1.0,True,False,1910.8846413230337,19842,60716,77.0,8.0,8.0,9.0,8.0,8.0,8.0,23,0.71,19842,0.8432184753880244,Turkmenistan,53.0,False
Uzbekistan,Type V2,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1217.6311165077545,11110,828,94.0,10.0,10.0,9.0,10.0,9.0,10.0,89,2.31,11110,0.8784215797895992,Kiribati,3.0,True
Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1.0,3,strict,1.0,False,False,3446.708852292392,24844,40105,94.0,10.0,9.0,10.0,10.0,10.0,9.0,102,2.86,24844,0.9946391820487914,Uzbekistan,6.0,False
Barbados,Type V5,Plasma,ThetaBase Services,3.0,6,moderate,3.0,True,False,2640.9657354182095,10809,16594,97.0,9.0,9.0,9.0,10.0,10.0,9.0,6,2.73,10809,1.0,Bosnia and Herzegovina,4.0,False
Uzbekistan,Type F5,Plasma,ThetaBase Services,2.0,5,moderate,3.0,False,False,2051.912009390242,21232,30906,97.0,10.0,9.0,10.0,10.0,9.0,10.0,18,1.72,21232,0.9027835816644536,Kiribati,2.0,True
Barbados,Type V5,Plasma,ThetaBase Services,2.0,6,strict,0.0,False,False,2928.0036901637964,3314,61936,96.0,10.0,10.0,10.0,10.0,10.0,9.0,11,1.34,3314,0.991605184087272,Slovakia (Slovak Republic),10.0,False
Micronesia,Type G0,Plasma,ThetaBase Services,1.0,2,strict,1.0,True,False,2944.0149942245034,11567,48467,100.0,10.0,10.0,10.0,10.0,10.0,10.0,3,0.16,11567,1.0,Niger,31.0,True
Micronesia,Type V5,Plasma,ThetaBase Services,1.0,2,strict,-1.0,True,False,2413.9694183596234,21240,73055,87.0,9.0,7.0,10.0,10.0,10.0,9.0,3,3.0,21240,0.9535746136568329,Niger,130.0,False
Gambia,Type V5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,True,False,1900.6303231174784,40479,17520,100.0,10.0,10.0,10.0,10.0,10.0,10.0,20,2.86,40479,1.0,France,1.0,False
Micronesia,Type V5,Plasma,ThetaBase Services,2.0,4,flexible,2.0,True,False,2806.6470842604426,27056,36740,98.0,10.0,10.0,10.0,10.0,10.0,9.0,19,5.59,27056,1.0,Kenya,4.0,False
Anguilla,Type F5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,True,False,1261.4171571294496,13821,13679,100.0,9.0,9.0,10.0,10.0,9.0,9.0,3,1.58,13821,1.0,United Kingdom,2.0,False
Uzbekistan,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,False,False,1582.1917265368068,29052,55217,98.0,10.0,9.0,10.0,10.0,10.0,9.0,13,0.67,29052,0.9965014825622187,Kiribati,1.0,False
Malta,Type Z6,Plasma,ThetaBase Services,4.0,7,strict,4.0,False,False,3632.236761888454,28636,57048,98.0,10.0,10.0,10.0,10.0,10.0,9.0,10,0.21,28636,0.7979738323239568,United Kingdom,2.0,True
Gambia,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,True,False,1263.4873838139708,28602,40454,97.0,10.0,10.0,10.0,10.0,9.0,10.0,31,5.74,28602,0.9970792469839346,Mauritania,2.0,False
Barbados,Type V5,Plasma,ThetaBase Services,2.0,5,strict,3.0,False,False,3634.1058337092145,43540,9502,100.0,8.0,8.0,10.0,10.0,10.0,8.0,1,0.22,43540,0.7159624463282097,Bosnia and Herzegovina,25.0,False
Niue,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,False,False,1382.5117541979566,10961,24235,100.0,10.0,10.0,10.0,10.0,10.0,10.0,5,2.34,10961,1.0,Guinea,1.0,False
Rwanda,Type V5,Plasma,ThetaBase Services,1.0,8,strict,4.0,True,False,2874.6029316823146,15004,57951,92.0,9.0,9.0,10.0,10.0,10.0,9.0,29,3.05,15004,1.0,Uzbekistan,88.0,False
Rwanda,Type V5,Plasma,ThetaBase Services,1.0,2,moderate,1.0,False,False,3705.0290243116874,8583,36745,100.0,10.0,10.0,10.0,10.0,10.0,10.0,4,4.0,8583,0.909714218648162,Venezuela,1.0,False
Barbados,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1638.2216860487715,14700,2390,91.0,10.0,8.0,10.0,10.0,10.0,9.0,34,0.63,14700,1.0,Montserrat,3.0,False
Barbados,Type V5,Plasma,ThetaBase Services,1.0,4,strict,2.0,False,False,2185.532390639687,5181,63107,100.0,10.0,10.0,10.0,10.0,10.0,10.0,20,0.56,5181,0.9890134503687792,Nicaragua,2.0,False
Nicaragua,Type F5,Plasma,ThetaBase Services,3.0,6,strict,2.0,False,False,2809.2197547169367,2935,55075,100.0,10.0,10.0,10.0,10.0,10.0,10.0,5,0.29,2935,0.9828282333013771,Isle of Man,3.0,True
Malta,Type V5,Plasma,ThetaBase Services,2.0,7,strict,3.0,False,False,3467.983262648244,24026,39430,85.0,9.0,9.0,7.0,9.0,9.0,9.0,16,0.85,24026,0.9676333703331493,Cape Verde,69.0,True
Rwanda,Type V5,Plasma,ThetaBase Services,2.0,8,strict,4.0,True,False,2511.3328152439453,15004,22552,87.0,9.0,9.0,9.0,10.0,9.0,9.0,45,2.2,15004,0.9957329363226921,Uzbekistan,88.0,False
